base,present,past,participle,adjective
aah,aahing,aahed,aahed,aahible
abacinate,abacinating,abacinated,abacinated,abacinateable
abalienate,abalienating,abalienated,abalienated,abalienateable
aband,abanding,abanded,abanded,abandable
abandon,abandoning,abandoned,abandoned,abandonable
abase,abasing,abased,abased,abaseable
abash,abashing,abashed,abashed,abashable
abastard,abastarding,abastarded,abastarded,abastardable
abastardize,abastardising,abastardised,abastardised,abastardiseable
abastardize,abastardizing,abastardized,abastardized,abastardizeable
abate,abating,abated,abated,abateable
abbreviate,abbreviating,abbreviated,abbreviated,abbreviateable
abdicate,abdicating,abdicated,abdicated,abdicateable
abduce,abducing,abduced,abduced,abduceable
abduct,abducting,abducted,abducted,abductible
abegge,abegging,abegged,abegged,abeggeable
abelianize,abelianising,abelianised,abelianised,abelianiseable
abelianize,abelianizing,abelianized,abelianized,abelianizeable
abend,abending,abended,abended,abendable
aber,abering,abered,abered,aberable
aberr,aberring,aberred,aberred,aberrible
aberrate,aberrating,aberrated,aberrated,aberrateable
aberuncate,aberuncating,aberuncated,aberuncated,aberuncateable
abet,abetting,abetted,abetted,abetable
abhor,abhorring,abhorred,abhorred,abhorable
abhor,abhouring,abhoured,abhoured,abhourable
abirritate,abirritating,abirritated,abirritated,abirritateable
abite,abiting,abit,abitten,abiteable
abject,abjecting,abjected,abjected,abjectable
abjoint,abjointing,abjointed,abjointed,abjointable
abjudge,abjudging,abjudged,abjudged,abjudgeable
abjudicate,abjudicating,abjudicated,abjudicated,abjudicateable
abjugate,abjugating,abjugated,abjugated,abjugateable
abjure,abjuring,abjured,abjured,abjureable
ablactate,ablactating,ablactated,ablactated,ablactateable
ablaqueate,ablaqueating,ablaqueated,ablaqueated,ablaqueateable
ablate,ablating,ablated,ablated,ablateable
ablaut,ablauting,ablauted,ablauted,ablautable
able,abling,abled,abled,ableable
ablegate,ablegating,ablegated,ablegated,ablegateable
abligate,abligating,abligated,abligated,abligateable
ablude,abluding,abluded,abluded,abludeable
ablute,abluting,abluted,abluted,abluteable
abnegate,abnegating,abnegated,abnegated,abnegateable
abnormalize,abnormalising,abnormalised,abnormalised,abnormaliseable
abnormalize,abnormalizing,abnormalized,abnormalized,abnormalizeable
abode,aboding,aboded,aboded,abodeable
abolish,abolishing,abolished,abolished,abolishable
abolitionize,abolitionising,abolitionised,abolitionised,abolitioniseable
abolitionize,abolitionizing,abolitionized,abolitionized,abolitionizeable
abominate,abominating,abominated,abominated,abominateable
abomine,abomining,abomined,abomined,abomineable
abord,abording,aborded,aborded,abordable
abort,aborting,aborted,aborted,abortable
abortive,abortiving,abortived,abortived,abortiveable
abound,abounding,abounded,abounded,aboundable
abrade,abrading,abraded,abraded,abradeable
abrase,abrasing,abrased,abrased,abraseable
abray,abraying,abrayed,abrayed,abrayable
abreact,abreacting,abreacted,abreacted,abreactable
abrenounce,abrenouncing,abrenounced,abrenounced,abrenounceable
abridge,abridging,abridged,abridged,abridgeable
abroach,abroaching,abroached,abroached,abroachable
abrogate,abrogating,abrogated,abrogated,abrogateable
abrook,abrooking,abrooked,abrooked,abrookable
abrupt,abrupting,abrupted,abrupted,abruptable
abscess,abscessing,abscessed,abscessed,abscessable
abscind,abscinding,abscinded,abscinded,abscindable
abscize,abscising,abscised,abscised,absciseable
absciss,abscissing,abscissed,abscissed,abscissable
abscond,absconding,absconded,absconded,abscondable
abseil,abseiling,abseiled,abseiled,abseilable
absent,absenting,absented,absented,absentable
absinthiate,absinthiating,absinthiated,absinthiated,absinthiateable
absist,absisting,absisted,absisted,absistable
absolutize,absolutising,absolutised,absolutised,absolutiseable
absolutize,absolutizing,absolutized,absolutized,absolutizeable
absolve,absolving,absolved,absolved,absolveable
absquatulate,absquatulating,absquatulated,absquatulated,absquatulateable
abstain,abstaining,abstained,abstained,abstainable
absterge,absterging,absterged,absterged,abstergeable
absterse,abstersing,abstersed,abstersed,absterseable
abstract,abstracting,abstracted,abstracted,abstractable
abstractify,abstractifying,abstractified,abstractified,abstractifyable
abstrict,abstricting,abstricted,abstricted,abstrictable
abstringe,abstringing,abstringed,abstringed,abstringeable
abstrude,abstruding,abstruded,abstruded,abstrudeable
absume,absuming,absumed,absumed,absumeable
abuse,abusing,abused,abused,abuseable
abut,abutting,abutted,abutted,abutable
abutt,abutting,abutted,abutted,abuttable
abuy,abuying,abought,abought,abuyable
abvolate,abvolating,abvolated,abvolated,abvolateable
aby,abying,abought,abought,abyable
abye,abying,abought,abought,abyeable
academicize,academicising,academicised,academicised,academiciseable
academicize,academicizing,academicized,academicized,academicizeable
academize,academising,academised,academised,academiseable
academize,academizing,academized,academized,academizeable
accede,acceding,acceded,acceded,accedeable
acceed,acceeding,acceeded,acceeded,acceedable
accelerate,accelerating,accelerated,accelerated,accelerateable
accend,accending,accended,accended,accendible
accent,accenting,accented,accented,accentable
accentuate,accentuating,accentuated,accentuated,accentuateable
accept,accepting,accepted,accepted,acceptable
access,accessing,accessed,accessed,accessable
accession,accessioning,accessioned,accessioned,accessionable
accessorize,accessorising,accessorised,accessorised,accessoriseable
accessorize,accessorizing,accessorized,accessorized,accessorizeable
accinge,accinging,accinged,accinged,accingeable
accite,acciting,accited,accited,acciteable
acclaim,acclaiming,acclaimed,acclaimed,acclaimable
acclamate,acclamating,acclamated,acclamated,acclamateable
acclimate,acclimating,acclimated,acclimated,acclimateable
acclimatize,acclimatising,acclimatised,acclimatised,acclimatiseable
acclimatize,acclimatizing,acclimatized,acclimatized,acclimatizeable
accloy,accloying,accloyed,accloyed,accloyable
accoast,accoasting,accoasted,accoasted,accoastable
accoil,accoiling,accoiled,accoiled,accoilable
accolade,accolading,accoladed,accoladed,accoladeable
accoll,accolling,accolled,accolled,accollable
accommodate,accommodating,accommodated,accommodated,accommodateable
accompany,accompanying,accompanied,accompanied,accompanyable
accomplish,accomplishing,accomplished,accomplished,accomplishable
accompt,accompting,accompted,accompted,accomptable
accord,according,accorded,accorded,accordable
accordion,accordioning,accordioned,accordioned,accordionable
accost,accosting,accosted,accosted,accostable
accouche,accouching,accouched,accouched,accoucheable
account,accounting,accounted,accounted,accountable
accouple,accoupling,accoupled,accoupled,accoupleable
accourage,accouraging,accouraged,accouraged,accourageable
accourt,accourting,accourted,accourted,accourtable
accouter,accoutering,accoutered,accoutered,accouterable
accoutre,accoutring,accoutred,accoutred,accoutreable
accoy,accoying,accoyed,accoyed,accoyable
accrease,accreasing,accreased,accreased,accreaseable
accredit,accrediting,accredited,accredited,accreditable
accresce,accrescing,accresced,accresced,accresceable
accrete,accreting,accreted,accreted,accreteable
accriminate,accriminating,accriminated,accriminated,accriminateable
accroach,accroaching,accroached,accroached,accroachable
accrue,accruing,accrued,accrued,accrueable
acculturate,acculturating,acculturated,acculturated,acculturateable
acculture,acculturing,accultured,accultured,accultureable
accumber,accumbering,accumbered,accumbered,accumberable
accuminate,accuminating,accuminated,accuminated,accuminateable
accumulate,accumulating,accumulated,accumulated,accumulateable
accurize,accurising,accurised,accurised,accuriseable
accurize,accurizing,accurized,accurized,accurizeable
accuse,accusing,accused,accused,accuseable
accustom,accustoming,accustomed,accustomed,accustomable
accustomize,accustomising,accustomised,accustomised,accustomiseable
accustomize,accustomizing,accustomized,accustomized,accustomizeable
ace,acing,aced,aced,aceable
acerbate,acerbating,acerbated,acerbated,acerbateable
acervate,acervating,acervated,acervated,acervateable
acetalize,acetalising,acetalised,acetalised,acetaliseable
acetalize,acetalizing,acetalized,acetalized,acetalizeable
acetify,acetifying,acetified,acetified,acetifyable
acetize,acetising,acetised,acetised,acetiseable
acetize,acetizing,acetized,acetized,acetizeable
acetylate,acetylating,acetylated,acetylated,acetylateable
achieve,achieving,achieved,achieved,achieveable
achromatize,achromatising,achromatised,achromatised,achromatiseable
achromatize,achromatizing,achromatized,achromatized,achromatizeable
acidify,acidifying,acidified,acidified,acidifyable
acidize,acidising,acidised,acidised,acidiseable
acidize,acidizing,acidized,acidized,acidizeable
acidulate,acidulating,acidulated,acidulated,acidulateable
acierate,acierating,acierated,acierated,acierateable
acknow,acknowing,acknew,acknown,acknowable
acknowledge,acknowledging,acknowledged,acknowledged,acknowledgeable
acquaint,acquainting,acquainted,acquainted,acquaintable
acquiesce,acquiescing,acquiesced,acquiesced,acquiesceable
acquiet,acquieting,acquieted,acquieted,acquietable
acquihire,acquihiring,acquihired,acquihired,acquihireable
acquire,acquiring,acquired,acquired,acquireable
acquittance,acquittancing,acquittanced,acquittanced,acquittanceable
acronymize,acronymising,acronymised,acronymised,acronymiseable
acronymize,acronymizing,acronymized,acronymized,acronymizeable
acrospire,acrospiring,acrospired,acrospired,acrospireable
act,acting,acted,acted,actable
action,actioning,actioned,actioned,actionable
activate,activating,activated,activated,activateable
actualize,actualising,actualised,actualised,actualiseable
actualize,actualizing,actualized,actualized,actualizeable
actuate,actuating,actuated,actuated,actuateable
acuate,acuating,acuated,acuated,acuateable
acuminate,acuminating,acuminated,acuminated,acuminateable
acupunctuate,acupunctuating,acupunctuated,acupunctuated,acupunctuateable
acupuncture,acupuncturing,acupunctured,acupunctured,acupunctureable
acute,acuting,acuted,acuted,acuteable
acylate,acylating,acylated,acylated,acylateable
adapt,adapting,adapted,adapted,adaptable
adaw,adawing,adawed,adawed,adawable
add,adding,added,added,addable
addeem,addeeming,addeemed,addeemed,addeemable
addend,addending,addended,addended,addendable
addict,addicting,addicted,addicted,addictable
addle,addling,addled,addled,addleable
addoom,addooming,addoomed,addoomed,addoomable
adduce,adducing,adduced,adduced,adduceable
adduct,adducting,adducted,adducted,adductible
addulce,addulcing,addulced,addulced,addulceable
adeem,adeeming,adeemed,adeemed,adeemable
adempt,adempting,adempted,adempted,ademptible
adenylate,adenylating,adenylated,adenylated,adenylateable
adequate,adequating,adequated,adequated,adequateable
adhere,adhering,adhered,adhered,adhereable
adhibit,adhibiting,adhibited,adhibited,adhibitable
adhort,adhorting,adhorted,adhorted,adhortable
adject,adjecting,adjected,adjected,adjectable
adjective,adjectiving,adjectived,adjectived,adjectiveable
adjectivize,adjectivising,adjectivised,adjectivised,adjectiviseable
adjectivize,adjectivizing,adjectivized,adjectivized,adjectivizeable
adjoin,adjoining,adjoined,adjoined,adjoinable
adjourn,adjourning,adjourned,adjourned,adjournable
adjudg,adjudging,adjudged,adjudged,adjudgable
adjudge,adjudging,adjudged,adjudged,adjudgeable
adjudicate,adjudicating,adjudicated,adjudicated,adjudicateable
adjugate,adjugating,adjugated,adjugated,adjugateable
adjure,adjuring,adjured,adjured,adjureable
adjust,adjusting,adjusted,adjusted,adjustable
adjute,adjuting,adjuted,adjuted,adjuteable
adjuvate,adjuvating,adjuvated,adjuvated,adjuvateable
adlect,adlecting,adlected,adlected,adlectable
adlib,adlibbing,adlibbed,adlibbed,adlibable
admarginate,admarginating,admarginated,admarginated,admarginateable
admeasure,admeasuring,admeasured,admeasured,admeasureable
admier,admiering,admiered,admiered,admierable
administer,administering,administered,administered,administerable
administrate,administrating,administrated,administrated,administrateable
administre,administring,administred,administred,administreable
admire,admiring,admired,admired,admireable
admit,admitting,admitted,admitted,admitable
admix,admixing,admixed,admixed,admixable
admonish,admonishing,admonished,admonished,admonishable
admove,admoving,admoved,admoved,admoveable
admynistre,admynistring,admynistred,admynistred,admynistreable
adnominalize,adnominalising,adnominalised,adnominalised,adnominaliseable
adnominalize,adnominalizing,adnominalized,adnominalized,adnominalizeable
adolesce,adolescing,adolesced,adolesced,adolesceable
adonize,adonizing,adonized,adonized,adonizeable
adopt,adopting,adopted,adopted,adoptable
adorate,adorating,adorated,adorated,adorateable
adore,adoring,adored,adored,adoreable
adorn,adorning,adorned,adorned,adornable
adpress,adpressing,adpressed,adpressed,adpressable
adraw,adrawing,adrew,adrawn,adrawable
adree,adreeing,adreed,adreed,adreeable
adrenalectomize,adrenalectomising,adrenalectomised,adrenalectomised,adrenalectomiseable
adrenalectomize,adrenalectomizing,adrenalectomized,adrenalectomized,adrenalectomizeable
adrenalize,adrenalising,adrenalised,adrenalised,adrenaliseable
adrenalize,adrenalizing,adrenalized,adrenalized,adrenalizeable
adrogate,adrogating,adrogated,adrogated,adrogateable
adsignify,adsignifying,adsignified,adsignified,adsignifyable
adsorb,adsorbing,adsorbed,adsorbed,adsorbable
adsorp,adsorping,adsorped,adsorped,adsorpable
adstrict,adstricting,adstricted,adstricted,adstrictable
adulate,adulating,adulated,adulated,adulateable
adulter,adultering,adultered,adultered,adulterable
adulterate,adulterating,adulterated,adulterated,adulterateable
adulterize,adulterising,adulterised,adulterised,adulteriseable
adulterize,adulterizing,adulterized,adulterized,adulterizeable
adultize,adultizing,adultized,adultized,adultizeable
adumbrate,adumbrating,adumbrated,adumbrated,adumbrateable
adure,aduring,adured,adured,adureable
advance,advancing,advanced,advanced,advanceable
advantage,advantaging,advantaged,advantaged,advantageable
advaunce,advauncing,advaunced,advaunced,advaunceable
advect,advecting,advected,advected,advectable
advene,advening,advened,advened,adveneable
adventure,adventuring,adventured,adventured,adventureable
adverbialize,adverbialising,adverbialised,adverbialised,adverbialiseable
adverbialize,adverbializing,adverbialized,adverbialized,adverbializeable
advert,adverting,adverted,adverted,advertable
advertize,advertising,advertised,advertised,advertiseable
advertize,advertizing,advertized,advertized,advertizeable
advesperate,advesperating,advesperated,advesperated,advesperateable
adview,adviewing,adviewed,adviewed,adviewable
advize,advising,advised,advised,adviseable
advocate,advocating,advocated,advocated,advocateable
advoke,advoking,advoked,advoked,advokeable
adwesch,adwesching,adwesched,adwesched,adweschable
adze,adzing,adzed,adzed,adzeable
aerate,aerating,aerated,aerated,aerateable
aerify,aerifying,aerified,aerified,aerifyable
aerobate,aerobating,aerobated,aerobated,aerobateable
aerobicize,aerobicising,aerobicised,aerobicised,aerobiciseable
aerobicize,aerobicizing,aerobicized,aerobicized,aerobicizeable
aerosolize,aerosolising,aerosolised,aerosolised,aerosoliseable
aerosolize,aerosolizing,aerosolized,aerosolized,aerosolizeable
aestheticize,aestheticising,aestheticised,aestheticised,aestheticiseable
aestheticize,aestheticizing,aestheticized,aestheticized,aestheticizeable
aestivate,aestivating,aestivated,aestivated,aestivateable
afear,afearing,afeared,afeared,afearable
affamish,affamishing,affamished,affamished,affamishable
affear,affearing,affeared,affeared,affearable
affect,affecting,affected,affected,affectable
affection,affectioned,affectioning,affectioning,affectionable
affectionate,affectionating,affectionated,affectionated,affectionateable
affeer,affeering,affeered,affeered,affeerable
affiance,affiancing,affianced,affianced,affianceable
affile,affiling,affiled,affiled,affileable
affiliate,affiliating,affiliated,affiliated,affiliateable
affine,affining,affined,affined,affineable
affirm,affirming,affirmed,affirmed,affirmable
affix,affixing,affixed,affixed,affixable
afflict,afflicting,afflicted,afflicted,afflictable
affoard,affoarding,affoarded,affoarded,affoardable
affoord,affoording,affoorded,affoorded,affoordable
affor,afforring,afforred,afforred,afforable
afforce,afforcing,afforced,afforced,afforceable
afford,affording,afforded,afforded,affordable
afforest,afforesting,afforested,afforested,afforestable
affranchize,affranchising,affranchised,affranchised,affranchiseable
affranchize,affranchising,affranchised,affranchised,affranchizeable
affray,affraying,affrayed,affrayed,affrayable
affreight,affreighting,affreighted,affreighted,affreightable
affright,affrighting,affrighted,affrighted,affrightable
affrighten,affrightening,affrightened,affrightened,affrightenable
affront,affronting,affronted,affronted,affrontable
affuse,affusing,affused,affused,affuseable
affy,affying,affied,affied,affyable
afoord,afoording,afoorded,afoorded,afoordable
aftercool,aftercooling,aftercooled,aftercooled,aftercoolable
aftersee,afterseeing,aftersaw,afterseen,afterseeable
afterthink,afterthinking,afterthought,afterthought,afterthinkable
afterthought,afterthoughting,afterthoughted,afterthoughted,afterthoughtable
againsay,againsaying,againsaid,againsaid,againsayable
againstand,againstanding,againstood,againstood,againstandable
agatize,agatizing,agatized,agatized,agatizeable
aggerate,aggerating,aggerated,aggerated,aggerateable
aggest,aggesting,aggested,aggested,aggestable
agglomerate,agglomerating,agglomerated,agglomerated,agglomerateable
agglutinate,agglutinating,agglutinated,agglutinated,agglutinateable
aggrace,aggracing,aggraced,aggraced,aggraceable
aggrade,aggrading,aggraded,aggraded,aggradeable
aggrandize,aggrandising,aggrandised,aggrandised,aggrandiseable
aggrandize,aggrandizing,aggrandized,aggrandized,aggrandizeable
aggrate,aggrating,aggrated,aggrated,aggrateable
aggravate,aggravating,aggravated,aggravated,aggravateable
aggregate,aggregating,aggregated,aggregated,aggregateable
aggrege,aggreging,aggreged,aggreged,aggregeable
aggress,aggressing,aggressed,aggressed,aggressible
aggrieve,aggrieving,aggrieved,aggrieved,aggrieveable
aggro,aggroing,aggroed,aggroed,aggroible
aggroup,aggrouping,aggrouped,aggrouped,aggroupable
agist,agisting,agisted,agisted,agistable
agitate,agitating,agitated,agitated,agitateable
agnize,agnising,agnised,agnised,agniseable
agnize,agnizing,agnized,agnized,agnizeable
agnominate,agnominating,agnominated,agnominated,agnominateable
agonize,agonising,agonised,agonised,agoniseable
agonize,agonizing,agonized,agonized,agonizeable
agrace,agracing,agraced,agraced,agraceable
agrarianize,agrarianising,agrarianised,agrarianised,agrarianiseable
agrarianize,agrarianizing,agrarianized,agrarianized,agrarianizeable
agree,agreeing,agreed,agreed,agreeable
agriculturalize,agriculturalising,agriculturalised,agriculturalised,agriculturaliseable
agriculturalize,agriculturalizing,agriculturalized,agriculturalized,agriculturalizeable
agriculturize,agriculturising,agriculturised,agriculturised,agriculturiseable
agriculturize,agriculturizing,agriculturized,agriculturized,agriculturizeable
agrize,agrising,agrised,agrised,agriseable
agrize,agrizing,agrized,agrized,agrizeable
ague,aguing,agued,agued,agueable
aguize,aguising,aguised,aguised,aguiseable
ahh,ahhing,ahhed,ahhed,ahhible
ahoy,ahoying,ahoyed,ahoyed,ahoyable
aid,aiding,aided,aided,aidable
ail,ailing,ailed,ailed,ailable
aim,aiming,aimed,aimed,aimable
air,airing,aired,aired,airable
airbrush,airbrushing,airbrushed,airbrushed,airbrushable
airdash,airdashing,airdashed,airdashed,airdashable
airdrop,airdropping,airdropped,airdropped,airdropable
airdry,airdrying,airdried,airdried,airdryable
airfreight,airfreighting,airfreighted,airfreighted,airfreightable
airlift,airlifting,airlifted,airlifted,airliftable
airmail,airmailing,airmailed,airmailed,airmailable
airt,airting,airted,airted,airtable
ajar,ajarring,ajarred,ajarred,ajarable
ake,aking,aked,aked,akeable
aken,akenning,akenned,akenned,akenable
akill,akilling,akilled,akilled,akillable
aknow,aknowing,aknew,aknown,aknowable
aks,aksing,aksed,aksed,aksible
alarm,alarming,alarmed,alarmed,alarmable
alarum,alaruming,alarumed,alarumed,alarumable
albumenize,albumenising,albumenised,albumenised,albumeniseable
albumenize,albumenizing,albumenized,albumenized,albumenizeable
albuminize,albumenising,albumenised,albumenised,albuminiseable
albuminize,albuminizing,albuminized,albuminized,albuminizeable
alchemize,alchemising,alchemised,alchemised,alchemiseable
alchemize,alchemizing,alchemized,alchemized,alchemizeable
alcoholize,alcoholising,alcoholised,alcoholised,alcoholiseable
alcoholize,alcoholizing,alcoholized,alcoholized,alcoholizeable
alegge,alegging,alegged,alegged,aleggeable
alert,alerting,alerted,alerted,alertable
algebraicize,algebraicizing,algebraicized,algebraicized,algebraicizeable
algebraize,algebraizing,algebraized,algebraized,algebraizeable
algorithmize,algorithmizing,algorithmized,algorithmized,algorithmizeable
alias,aliasing,aliased,aliased,aliasable
alibi,alibiing,alibied,alibied,alibiible
alien,aliening,aliened,aliened,alienable
alienate,alienating,alienated,alienated,alienateable
aliene,aliening,aliened,aliened,alieneable
alieve,alieving,alieved,alieved,alieveable
alight,alighting,alighted,alighted,alightable
align,aligning,aligned,aligned,alignable
aliment,alimenting,alimented,alimented,alimentable
aline,alining,alined,alined,alineable
aliquot,aliquoting,aliquoted,aliquoted,aliquotable
alkalify,alkalifying,alkalified,alkalified,alkalifyable
alkalinize,alkalinising,alkalinised,alkalinised,alkaliniseable
alkalinize,alkalinizing,alkalinized,alkalinized,alkalinizeable
alkalize,alkalizing,alkalized,alkalized,alkalizeable
alkylate,alkylating,alkylated,alkylated,alkylateable
allay,allaying,allayed,allayed,allayable
allect,allecting,allected,allected,allectable
alledg,alledging,alledged,alledged,alledgable
alledge,alledging,alledged,alledged,alledgeable
allege,alleging,alleged,alleged,allegeable
allegorize,allegorising,allegorised,allegorised,allegoriseable
allegorize,allegorizing,allegorized,allegorized,allegorizeable
alleviate,alleviating,alleviated,alleviated,alleviateable
alliance,alliancing,allianced,allianced,allianceable
allide,alliding,allided,allided,allideable
alligate,alligating,alligated,alligated,alligateable
alligator,alligatoring,alligatored,alligatored,alligatorable
allineate,allineating,allineated,allineated,allineateable
alliterate,alliterating,alliterated,alliterated,alliterateable
alliterize,alliterizing,alliterized,alliterized,alliterizeable
allocate,allocating,allocated,allocated,allocateable
allocute,allocuting,allocuted,allocuted,allocuteable
allomother,allomothering,allomothered,allomothered,allomotherable
allonge,allonging,allonged,allonged,allongeable
alloo,allooing,allooed,allooed,allooable
allot,allotting,allotted,allotted,allotable
allotropize,allotropizing,allotropized,allotropized,allotropizeable
allow,allowing,allowed,allowed,allowable
allowance,allowancing,allowanced,allowanced,allowanceable
alloy,alloying,alloyed,alloyed,alloyable
allude,alluding,alluded,alluded,alludeable
allure,alluring,allured,allured,allureable
ally,allying,allied,allied,allyable
alphabet,alphabeting,alphabeted,alphabeted,alphabetable
alphabetize,alphabetising,alphabetised,alphabetised,alphabetiseable
alphabetize,alphabetizing,alphabetized,alphabetized,alphabetizeable
alter,altering,altered,altered,alterable
altercate,altercating,altercated,altercated,altercateable
alternate,alternating,alternated,alternated,alternateable
altre,altring,altred,altred,altreable
alum,aluming,alumed,alumed,alumable
aluminize,aluminising,aluminised,aluminised,aluminiseable
aluminize,aluminizing,aluminized,aluminized,aluminizeable
aluminumize,aluminumizing,aluminumized,aluminumized,aluminumizeable
amain,amaining,amained,amained,amainable
amalgam,amalgaming,amalgamed,amalgamed,amalgamable
amalgamate,amalgamating,amalgamated,amalgamated,amalgamateable
amalgamize,amalgamizing,amalgamized,amalgamized,amalgamizeable
amanse,amansing,amansed,amansed,amanseable
amass,amassing,amassed,amassed,amassable
amate,amating,amated,amated,amateable
amay,amaying,amayed,amayed,amayable
amaze,amazing,amazed,amazed,amazeable
ambass,ambassing,ambassed,ambassed,ambassable
amber,ambering,ambered,ambered,amberable
ambiguate,ambiguating,ambiguated,ambiguated,ambiguateable
ambition,ambitioning,ambitioned,ambitioned,ambitionable
amble,ambling,ambled,ambled,ambleable
ambulate,ambulating,ambulated,ambulated,ambulateable
ambuscade,ambuscading,ambuscaded,ambuscaded,ambuscadeable
ambush,ambushing,ambushed,ambushed,ambushable
amel,ameling,ameled,ameled,amelable
ameliorate,ameliorating,ameliorated,ameliorated,ameliorateable
amen,amening,amened,amened,amenable
amend,amending,amended,amended,amendable
amenuse,amenusing,amenused,amenused,amenuseable
amerce,amercing,amerced,amerced,amerceable
amese,amesing,amesed,amesed,ameseable
aminate,aminating,aminated,aminated,aminateable
amind,aminding,aminded,aminded,amindable
amit,amitting,amitted,amitted,amitable
ammo,ammoing,ammoed,ammoed,ammoible
ammoniate,ammoniating,ammoniated,ammoniated,ammoniateable
ammonify,ammonifying,ammonified,ammonified,ammonifyable
amnesty,amnestying,amnestied,amnestied,amnestyable
amortize,amortising,amortised,amortised,amortiseable
amount,amounting,amounted,amounted,amountable
amove,amoving,amoved,amoved,amoveable
amp,amping,amped,amped,ampable
ampliate,ampliating,ampliated,ampliated,ampliateable
amplificate,amplificating,amplificated,amplificated,amplificateable
amplify,amplifying,amplified,amplified,amplifyable
amputate,amputating,amputated,amputated,amputateable
amuse,amusing,amused,amused,amuseable
anabaptize,anabaptizing,anabaptized,anabaptized,anabaptizeable
anachronize,anachronizing,anachronized,anachronized,anachronizeable
anaesthetize,anaesthetising,anaesthetised,anaesthetised,anaesthetiseable
anaesthetize,anaesthetizing,anaesthetized,anaesthetized,anaesthetizeable
anagram,anagramming,anagrammed,anagrammed,anagramable
anagrammatize,anagrammatising,anagrammatised,anagrammatised,anagrammatiseable
anagrammatize,anagrammatizing,anagrammatized,anagrammatized,anagrammatizeable
analogize,analogising,analogised,analogised,analogiseable
analogize,analogizing,analogized,analogized,analogizeable
analyse,analysing,analysed,analysed,analyseable
analyze,analyzing,analyzed,analyzed,analyzeable
anarchize,anarchizing,anarchized,anarchized,anarchizeable
anastomose,anastomosing,anastomosed,anastomosed,anastomoseable
anathematize,anathematising,anathematised,anathematised,anathematiseable
anathematize,anathematizing,anathematized,anathematized,anathematizeable
anatomize,anatomising,anatomised,anatomised,anatomiseable
anatomize,anatomizing,anatomized,anatomized,anatomizeable
anchor,anchoring,anchored,anchored,anchorable
anchor,anchouring,anchoured,anchoured,anchourable
anchylose,anchylosing,anchylosed,anchylosed,anchyloseable
androgenize,androgenising,androgenised,androgenised,androgeniseable
androgenize,androgenizing,androgenized,androgenized,androgenizeable
androgynize,androgynising,androgynised,androgynised,androgyniseable
androgynize,androgynizing,androgynized,androgynized,androgynizeable
aneal,anealing,anealed,anealed,anealable
anear,anearing,aneared,aneared,anearable
anele,aneling,aneled,aneled,aneleable
anesthetize,anesthetizing,anesthetized,anesthetized,anesthetizeable
angel,angeling,angeled,angeled,angelable
angelify,angelifying,angelified,angelified,angelifyable
angelize,angelising,angelised,angelised,angeliseable
angelize,angelizing,angelized,angelized,angelizeable
anger,angering,angered,angered,angerable
angle,angling,angled,angled,angleable
anglicize,anglicising,anglicised,anglicised,angliciseable
anglicize,anglicizing,anglicized,anglicized,anglicizeable
angst,angsting,angsted,angsted,angstable
anguish,anguishing,anguished,anguished,anguishable
angulate,angulating,angulated,angulated,angulateable
anhele,anheling,anheled,anheled,anheleable
anhydrate,anhydrating,anhydrated,anhydrated,anhydrateable
animadvert,animadverting,animadverted,animadverted,animadvertable
animalize,animalising,animalised,animalised,animaliseable
animalize,animalizing,animalized,animalized,animalizeable
animate,animating,animated,animated,animateable
ankle,ankling,ankled,ankled,ankleable
ankylose,ankylosing,ankylosed,ankylosed,ankyloseable
annalize,annalising,annalised,annalised,annaliseable
annalize,annalizing,annalized,annalized,annalizeable
anneal,annealing,annealed,annealed,annealable
annex,annexing,annexed,annexed,annexable
annexe,annexing,annexed,annexed,annexeible
annihilate,annihilating,annihilated,annihilated,annihilateable
annoint,annointing,annointed,annointed,annointable
annotate,annotating,annotated,annotated,annotateable
announce,announcing,announced,announced,announceable
annoy,annoying,annoyed,annoyed,annoyable
annualize,annualising,annualised,annualised,annualiseable
annualize,annualizing,annualized,annualized,annualizeable
annul,annulling,annulled,annulled,annulable
annumerate,annumerating,annumerated,annumerated,annumerateable
annunciate,annunciating,annunciated,annunciated,annunciateable
anodize,anodising,anodised,anodised,anodiseable
anodize,anodizing,anodized,anodized,anodizeable
anoil,anoiling,anoiled,anoiled,anoilable
anoint,anointing,anointed,anointed,anointable
anonymize,anonymising,anonymised,anonymised,anonymiseable
anorn,anorning,anorned,anorned,anornable
answer,answering,answered,answered,answerable
answere,answering,answered,answered,answereable
ant,anting,anted,anted,antable
antagonize,antagonising,antagonised,antagonised,antagoniseable
antagonize,antagonizing,antagonized,antagonized,antagonizeable
antecede,anteceding,anteceded,anteceded,antecedeable
antedate,antedating,antedated,antedated,antedateable
antevert,anteverting,anteverted,anteverted,antevertible
antevolate,antevolating,antevolated,antevolated,antevolateable
anthem,antheming,anthemed,anthemed,anthemable
anthologize,anthologising,anthologised,anthologised,anthologiseable
anthologize,anthologizing,anthologized,anthologized,anthologizeable
anthropize,anthropising,anthropised,anthropised,anthropiseable
anthropize,anthropizing,anthropized,anthropized,anthropizeable
anthropomorphize,anthropomorphising,anthropomorphised,anthropomorphised,anthropomorphiseable
anthropomorphize,anthropomorphizing,anthropomorphized,anthropomorphized,anthropomorphizeable
